,corrected_question,sparql_query,answer,entity,wiki_answer
1348,Of which countries  does Viveka Babajee have citizenship?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Viveka_Babajee> <http://dbpedia.org/property/citizenship> ?uri } ,"['http://dbpedia.org/resource/India', 'http://dbpedia.org/resource/Mauritius']",Viveka Babajee,India
1351,What is the ethicity of Ted Falon?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ted_Failon> <http://dbpedia.org/ontology/ethnicity> ?uri } ,[],Ted Falon,"Sorry, answer not found!"
1352,By what person of which political party is Balangir district led?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Balangir_district> <http://dbpedia.org/ontology/leaderName> ?uri } ,[],Balangir district,Ramai Deo
1357,Of how many battles is Chickasaw Campaign of 1736 consisted?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Chickasaw_Campaign_of_1736> <http://dbpedia.org/property/combatant> ?uri } ,"['http://dbpedia.org/resource/Chickasaw', 'http://dbpedia.org/resource/Louisiana_(New_France)']",Chickasaw,575
1364,What organization is the parent of Greenpeace Nordic?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Greenpeace_Nordic> <http://dbpedia.org/ontology/parentOrganisation> ?uri } ,['http://dbpedia.org/resource/Greenpeace'],Greenpeace Nordic,Phase out all subsidies for fossil fuels and nuclear energy
1376,Who was the PM under which William Deane served?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/William_Deane> <http://dbpedia.org/ontology/primeMinister> ?uri  . },"['http://dbpedia.org/resource/John_Howard', 'http://dbpedia.org/resource/Paul_Keating']",William Deane,Sir Ninian Stephen
1393,Who is the editor of Hearth and Home ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Hearth_and_Home> <http://dbpedia.org/ontology/editor> ?uri } ,"['http://dbpedia.org/resource/Donald_Grant_Mitchell', 'http://dbpedia.org/resource/Harriet_Beecher_Stowe']",Hearth and Home,George Cary Eggleston
1396,Where does Manu cornet work?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Manu_Cornet> <http://dbpedia.org/property/employer> ?uri  . },['http://dbpedia.org/resource/Google'],Manu cornet,"Sorry, answer not found!"
1400,What is the source country of reg Lake ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Üüreg_Lake> <http://dbpedia.org/ontology/sourceCountry> ?uri } ,[],Lake,central North America
1402,which president was served by Joseph Stiglitz?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Joseph_Stiglitz> <http://dbpedia.org/property/president> ?uri } ,"['http://dbpedia.org/resource/Bill_Clinton', 'http://dbpedia.org/resource/James_Wolfensohn']",Joseph Stiglitz,Jane Hannaway
1412,Who operates the Ganz UV?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ganz_UV> <http://dbpedia.org/ontology/operator> ?uri } ,"['http://dbpedia.org/resource/BKV_Zrt.', 'http://dbpedia.org/resource/Hungary', 'http://dbpedia.org/resource/Budapest']",Ganz UV,Budapest
1425,Name the source Island of Bayou ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Island_Bayou_(Oklahoma)> <http://dbpedia.org/ontology/source> ?uri } ,[],NotFound,"Sorry, answer not found!"
1431,What were the occupations of Marcus Floyd?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Marcus_Floyd> <http://dbpedia.org/ontology/occupation> ?uri } ,"['http://dbpedia.org/resource/Minister_(Christianity)', 'http://dbpedia.org/resource/NFL']",Floyd,guitarist
1442,In which city is Corringham railway station located?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Corringham_railway_station> <http://dbpedia.org/property/borough> ?uri } ,['http://dbpedia.org/resource/Essex'],Corringham railway station,Thames Haven and Coryton
1443,What monument was unveiled in 1984 of fine arts of the Soviet Union ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/1984_in_fine_arts_of_the_Soviet_Union> <http://dbpedia.org/property/title> ?uri } ,[],the Soviet Union,Victory Day
1452,What company is the distributor of Bombay Sapphire?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Bombay_Sapphire> <http://dbpedia.org/property/distributor> ?uri } ,['http://dbpedia.org/resource/Bacardi'],Bombay Sapphire,Proof66.com
1458,List the ingredients of Kaszanka?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Kaszanka> <http://dbpedia.org/ontology/ingredient> ?uri } ,"['http://dbpedia.org/resource/Offal', 'http://dbpedia.org/resource/Kasha', 'http://dbpedia.org/resource/Onion', 'http://dbpedia.org/resource/Marjoram', 'http://dbpedia.org/resource/Black_pepper', 'http://dbpedia.org/resource/Blood', 'http://dbpedia.org/resource/Pork']",Kaszanka,German cuisine
1459,List the language of Kunsten Museum of moder art Aalborg ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/KUNSTEN_Museum_of_Modern_Art_Aalborg> <http://dbpedia.org/ontology/language> ?uri } ,['http://dbpedia.org/resource/Denmark'],Aalborg,Danish
1464,Who is the leader of Panki block ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Panki_block> <http://dbpedia.org/ontology/leaderName> ?uri } ,[],Panki block,"Rajkiye Buniyadi Ms Panki School
Sarswati"
1479,Who is the predecessor of Voere ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Voere> <http://dbpedia.org/ontology/predecessor> ?uri } ,['http://dbpedia.org/resource/West_Germany'],Voere,"Sorry, answer not found!"
1480,Which city is Black Grape Global located ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Black_Grape_Global> <http://dbpedia.org/ontology/locationCity> ?uri } ,[],Black,"Melanophobia
Rich black"
1496,who manufactures the SHO V8?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ford_SHO_V8_engine> <http://dbpedia.org/ontology/manufacturer> ?uri } ,"['http://dbpedia.org/resource/Ford_Motor_Company', 'http://dbpedia.org/resource/Yamaha_Motor_Corporation']",V8,Gray Marine Motor Company
1504,Name the team of Michael springer ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Michael_Springer> <http://dbpedia.org/property/team> ?uri } ,['http://dbpedia.org/resource/Syracuse_University'],Michael springer,"Sorry, answer not found!"
1510,What are the broadcast areas of Mauritius Broadcasting Corporation?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Mauritius_Broadcasting_Corporation> <http://dbpedia.org/property/broadcastArea> ?uri } ,"['http://dbpedia.org/resource/Rodrigues', 'http://dbpedia.org/resource/Agaléga', 'http://dbpedia.org/resource/Mauritius', 'Worldwide']",Mauritius Broadcasting Corporation,"information, education, culture, and entertainment"
1511,"Where was Henri, Duke of Rohan laid to rest?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Henri,_Duke_of_Rohan> <http://dbpedia.org/ontology/placeOfBurial> ?uri } ",['http://dbpedia.org/resource/Geneva'],Rohan,Morbihan
1521,What is the current team of John McGuinness (motorcycle racer) ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/John_McGuinness_(motorcycle_racer)> <http://dbpedia.org/property/currentTeam> ?uri } ,[],John McGuinness (motorcycle racer),David Jefferies
1525,"What is the location town of First Church of Christ, Scientist (Pittsburgh) ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/First_Church_of_Christ,_Scientist_(Pittsburgh)> <http://dbpedia.org/property/locationTown> ?uri } ","[635, 'http://dbpedia.org/resource/Pittsburgh']",Pittsburgh,Fort Pitt
1539,What is the province of Rouen Business School ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Rouen_Business_School> <http://dbpedia.org/property/province> ?uri } ,['http://dbpedia.org/resource/Normandy'],Rouen Business School,France
1542,What is the denomination of S. H. Kapadia ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/S._H._Kapadia> <http://dbpedia.org/property/religion> ?uri } ,['http://dbpedia.org/resource/Zoroastrianism'],S. H. Kapadia,class IV
1556,What is the purpose of Maharashtra Chess Association ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Maharashtra_Chess_Association> <http://dbpedia.org/property/purpose> ?uri } ,['http://dbpedia.org/resource/Chess'],Maharashtra Chess Association,Looking at the growth of the game
1561,Name the religious affiliation of Vagif Aliyev ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Vagif_Aliyev> <http://dbpedia.org/ontology/religion> ?uri } ,['http://dbpedia.org/resource/Islam'],Aliyev,"Azerbaijan
Heydar Aliyev Palace, a concert hall in Baku, Azerbaijan"
1576,List the current members of Metro Station (band) ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Metro_Station_(band)> <http://dbpedia.org/property/currentMembers> ?uri } ,['* Mason Musso\n* Trace Cyrus'],Metro Station (band),"Sorry, answer not found!"
1581,What is the home stadium of Kenya's women national football team ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Kenya_women's_national_football_team> <http://dbpedia.org/property/homeStadium> ?uri } ,"['http://dbpedia.org/resource/Kenya', 'http://dbpedia.org/resource/Moi_International_Sports_Centre', 'http://dbpedia.org/resource/Nairobi']",football,"Football
Football field"
1582,Where does the jurisdiction of European Border and Coast Guard fall?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/European_Border_and_Coast_Guard> <http://dbpedia.org/property/jurisdiction> ?uri } ,[],Coast Guard,"Chief Coastguard
Maritime Security Regimes
Port"
1588,What is the county seat of Moscow Governorate ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Moscow_Governorate> <http://dbpedia.org/ontology/capital> ?uri } ,['http://dbpedia.org/resource/Moscow'],Moscow Governorate,Bogorodsky Uyezd
1602,Where did anton ausserer die?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Anton_Ausserer> <http://dbpedia.org/property/deathPlace> ?uri } ,"['Graz, Austria']",anton ausserer,"Sorry, answer not found!"
1606,To which family does korean fox belongs to ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Korean_fox> <http://dbpedia.org/ontology/family> ?uri } ,[],korean fox,Korea
1616,What is the type of Vesak ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Vesak> <http://dbpedia.org/ontology/type> ?uri } ,['http://dbpedia.org/resource/Buddhism'],Vesak,International Day
1623,Name the species of Panthera leo fossilis ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Panthera_leo_fossilis> <http://dbpedia.org/ontology/species> ?uri } ,[],Panthera leo fossilis,Panthera spelaea
1624,What is the nationality of Newin Chidchob ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Newin_Chidchob> <http://dbpedia.org/property/nationality> ?uri } ,['http://dbpedia.org/resource/Thailand'],Newin Chidchob,Thai
1625,List the affiliations of Wikipedia Zero ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Wikipedia_Zero> <http://dbpedia.org/property/affiliations> ?uri } ,[],Wikipedia Zero,"Alliance for Affordable Internet
Google Free Zone
Internet.org"
1626,What is the route start of Capitol 400 ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Capitol_400> <http://dbpedia.org/ontology/routeStart> ?uri } ,[],Capitol,Capitolio Nacional
1632,Who is the head coach of 2009-10 Middlesbrough F.C. season ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/2009–10_Middlesbrough_F.C._season> <http://dbpedia.org/ontology/manager> ?uri } ,"['http://dbpedia.org/resource/Gordon_Strachan', 'http://dbpedia.org/resource/Gareth_Southgate']",Middlesbrough F.C.,As of 14 June 2019
1640,What sport activities are available at Polytechnic University of the Philippines Bataan?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Polytechnic_University_of_the_Philippines_–_Bataan> <http://dbpedia.org/ontology/sport> ?uri } ,[],Bataan,Roman Catholic Diocese of Balanga
1647,Where is the T.I. Ahmadiyya Girls Senior High School?," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/T.I._Ahmadiyya_Girls_Senior_High_School,_Asokore> <http://dbpedia.org/ontology/denomination> ?uri } ","['http://dbpedia.org/resource/Ahmadiyya_Muslim_Mission', 'http://dbpedia.org/resource/Ghana']",Ahmadiyya,"Ludhiana, India"
1662,Which political party got elected in First Legislative Assembly of Uttar Pradesh ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/First_Legislative_Assembly_of_Uttar_Pradesh> <http://dbpedia.org/property/party> ?uri } ,"['http://dbpedia.org/resource/Socialist_Party_(India)', 'http://dbpedia.org/resource/Indian_National_Congress']",Uttar Pradesh,Samajwadi Party
1664,Name the notable commanders of Army Group Oberrhein ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Army_Group_Oberrhein_(Germany)> <http://dbpedia.org/property/notableCommanders> ?uri } ,"['http://dbpedia.org/resource/Paul_Hausser', 'http://dbpedia.org/resource/Heinrich_Himmler']",Army Group Oberrhein,Heinrich Himmler
1668,Name the place of Qaqun ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Qaqun> <http://dbpedia.org/property/place> ?uri } ,['http://dbpedia.org/resource/Israel'],Qaqun,List of Arab towns
1678,"What is the architecture of First National Bank and Trust Building (Lima, Ohio) ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/First_National_Bank_and_Trust_Building_(Lima,_Ohio)> <http://dbpedia.org/ontology/architecturalStyle> ?uri } ",['http://dbpedia.org/resource/Chicago'],Ohio,glass making industry
1692,What is a salthill?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Salthill> <http://dbpedia.org/ontology/type> ?uri } ,['http://dbpedia.org/resource/Galway'],salthill,"Wild Atlantic Way
Galway Bay"
1697,Where does the Jerusalem Institute of Justice render their services?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Jerusalem_Institute_of_Justice> <http://dbpedia.org/ontology/service> ?uri } ,['http://dbpedia.org/resource/Israel'],Jerusalem,Temple Mount
1699,What borders siberia?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Siberia> <http://dbpedia.org/ontology/border> ?uri } ,[],siberia,Sibselmash
1706,List down the commanders of Battle of Fort stephenson ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Battle_of_Fort_Stephenson> <http://dbpedia.org/ontology/commander> ?uri } ,"['http://dbpedia.org/resource/Henry_Procter_(British_Army_officer)', 'http://dbpedia.org/resource/George_Croghan_(soldier)', 'http://dbpedia.org/resource/Tecumseh']",Battle of Fort stephenson,"Sorry, answer not found!"
1707,What is the subject of The Prodigal son ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Prodigal_Son_(play)> <http://dbpedia.org/property/subject> ?uri } ,['http://dbpedia.org/resource/Jesus'],The Prodigal son,"Sorry, answer not found!"
1709,Name the work institutions of Andrew Schally?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Andrew_Schally> <http://dbpedia.org/property/workInstitutions> ?uri } ,"['Tulane University', 'University of Miami', '', 'Baylor College of Medicine']",Andrew Schally,American Academy of Achievement
1722,Who is the developer of Montecito Inn ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Montecito_Inn> <http://dbpedia.org/property/developer> ?uri } ,['http://dbpedia.org/resource/Charlie_Chaplin'],Montecito Inn,Richard Rogers
1723,Where did Paul Jones do his highschool?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Paul_Jones_(American_football)> <http://dbpedia.org/property/highschool> ?uri } ,"['http://dbpedia.org/resource/Pittsburgh', 'http://dbpedia.org/resource/Sto-Rox_High_School', 'Sto-Rox High School,']",Paul Jones,Medford
1737,Where is  Dofinivka Estuary  located ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Dofinivka_Estuary> <http://dbpedia.org/property/location> ?uri } ,[],Dofinivka Estuary,Berezan
1740,name the races where bobby beasley took part ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Bobby_Beasley> <http://dbpedia.org/ontology/race> ?uri } ,"['http://dbpedia.org/resource/Grand_National', 'http://dbpedia.org/resource/Cheltenham_Gold_Cup', 'http://dbpedia.org/resource/Galway_Plate', 'http://dbpedia.org/resource/National_Hunt']",bobby beasley,"Sorry, answer not found!"
1745,What softwares were created by Apple Productivity Experience Group ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Apple_Productivity_Experience_Group> <http://dbpedia.org/ontology/product> ?uri } ,"['http://dbpedia.org/resource/Remote_Desktop_Protocol', 'http://dbpedia.org/resource/Microsoft_Office', 'http://dbpedia.org/resource/Microsoft_Messenger_for_Mac']",Apple Productivity Experience Group,Word 1.0 for Macintosh
1748,List all that flows into the north sea?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/North_Sea> <http://dbpedia.org/property/inflow> ?uri } ,"['http://dbpedia.org/resource/Baltic_Sea', 'http://dbpedia.org/resource/Humber', 'http://dbpedia.org/resource/Scheldt', 'http://dbpedia.org/resource/Rhine', 'http://dbpedia.org/resource/River_Dee,_Aberdeenshire', 'http://dbpedia.org/resource/River_Don,_Aberdeenshire', 'http://dbpedia.org/resource/River_Forth', 'http://dbpedia.org/resource/River_Spey', 'http://dbpedia.org/resource/River_Tay', 'http://dbpedia.org/resource/River_Tees', 'http://dbpedia.org/resource/River_Thames', 'http://dbpedia.org/resource/River_Tyne', 'http://dbpedia.org/resource/River_Wear', 'http://dbpedia.org/resource/Waal_(river)', 'http://dbpedia.org/resource/Weser', 'http://dbpedia.org/resource/Elbe', 'http://dbpedia.org/resource/Ems_(river)', 'http://dbpedia.org/resource/Meuse']",north sea,"European Atlas of the Seas
List of languages"
1758,What is the draft team of Bob MacMillan ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Bob_MacMillan> <http://dbpedia.org/property/draftTeam> ?uri } ,[],Bob MacMillan,Anaheim Ducks
1760,What are the teams for which Wilfred McDonald played for?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Wilfred_McDonald> <http://dbpedia.org/property/playedFor> ?uri } ,"['http://dbpedia.org/resource/Detroit_Red_Wings', 'http://dbpedia.org/resource/Toronto_Maple_Leafs', 'http://dbpedia.org/resource/New_York_Rangers']",Wilfred McDonald,"Sorry, answer not found!"
1766,List the import people of Maryland Jockey Club ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Maryland_Jockey_Club> <http://dbpedia.org/property/keyPeople> ?uri } ,"['http://dbpedia.org/resource/Charles_Carroll_of_Carrollton', 'http://dbpedia.org/resource/George_Washington', 'http://dbpedia.org/resource/William_Paca']",Jockey Club,Horserace Betting Levy Board
1768,Who does Cam PLante plays for ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Cam_Plante> <http://dbpedia.org/property/playedFor> ?uri } ,['http://dbpedia.org/resource/Toronto_Maple_Leafs'],Cam PLante,"Sorry, answer not found!"
1779,What is the alma mater of K. Terry Dornbush ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/K._Terry_Dornbush> <http://dbpedia.org/property/almaMater> ?uri } ,['http://dbpedia.org/resource/Vanderbilt_University'],K. Terry Dornbush,Vanderbilt University
1786,Who is the prime minister that Michael Jeffery served?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Michael_Jeffery> <http://dbpedia.org/property/primeminister> ?uri } ,"['http://dbpedia.org/resource/Kevin_Rudd', 'http://dbpedia.org/resource/John_Howard']",Michael Jeffery,John Howard
1788,What is pitro Gruszka hometown ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Piotr_Gruszka> <http://dbpedia.org/property/hometown> ?uri } ,"['http://dbpedia.org/resource/Kęty', 'http://dbpedia.org/resource/Poland']",Gruszka,"Sorry, answer not found!"
1791,Who is the employer of Ralph flanders ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ralph_Flanders> <http://dbpedia.org/property/occupation> ?uri } ,[],Ralph flanders,"Sorry, answer not found!"
1795,Name the members of European Go Federation?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/European_Go_Federation> <http://dbpedia.org/property/membership> ?uri } ,"['http://dbpedia.org/resource/Luxembourg', 'http://dbpedia.org/resource/Ukraine', 'http://dbpedia.org/resource/United_Kingdom', 'http://dbpedia.org/resource/Bosnia_and_Herzegovina', 'http://dbpedia.org/resource/Denmark', 'http://dbpedia.org/resource/Finland', 'http://dbpedia.org/resource/Norway', 'http://dbpedia.org/resource/Austria', 'http://dbpedia.org/resource/Lithuania', 'http://dbpedia.org/resource/Georgia_(country)', 'http://dbpedia.org/resource/Germany', 'http://dbpedia.org/resource/Belarus', 'http://dbpedia.org/resource/Belgium', 'http://dbpedia.org/resource/Kazakhstan', 'http://dbpedia.org/resource/Russia', 'http://dbpedia.org/resource/Slovakia', 'http://dbpedia.org/resource/Slovenia', 'http://dbpedia.org/resource/Spain', 'http://dbpedia.org/resource/France', 'http://dbpedia.org/resource/Hungary', 'http://dbpedia.org/resource/Iceland', 'http://dbpedia.org/resource/Ireland', 'http://dbpedia.org/resource/Israel', 'http://dbpedia.org/resource/Italy', 'http://dbpedia.org/resource/Serbia', 'http://dbpedia.org/resource/Armenia', 'http://dbpedia.org/resource/Turkey', 'http://dbpedia.org/resource/Bulgaria', 'http://dbpedia.org/resource/Croatia', 'http://dbpedia.org/resource/Cyprus', 'http://dbpedia.org/resource/Czech_Republic', 'http://dbpedia.org/resource/Romania', 'http://dbpedia.org/resource/Sweden', 'http://dbpedia.org/resource/Switzerland', 'http://dbpedia.org/resource/Netherlands', 'http://dbpedia.org/resource/Poland', 'http://dbpedia.org/resource/Portugal']",European Go Federation,The European Go Federation
1799,What is the order of George Frisbie Hoar?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/George_Frisbie_Hoar> <http://dbpedia.org/property/order> ?uri } ,"['http://dbpedia.org/resource/United_States_Senate', 'from Massachusetts']",George Frisbie Hoar,Associate Justice of the Massachusetts Supreme Judicial Court
1808,Where is the grave of Ivan III of Russia ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ivan_III_of_Russia> <http://dbpedia.org/property/placeOfBurial> ?uri } ,[],Russia,Outline
1809,Name the capital of Barony of Caux ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Barony_of_Caux> <http://dbpedia.org/ontology/capital> ?uri } ,[],Caux,Caux
1845,Name the broadcast area of ITV (Thailand) ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/ITV_(Thailand)> <http://dbpedia.org/property/broadcastArea> ?uri } ,[],ITV (Thailand),"Shin Corporation
Thai Public Broadcasting Service"
1849,What is the region of Kim Sawchuk ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Kim_Sawchuk> <http://dbpedia.org/property/region> ?uri } ,"['http://dbpedia.org/resource/North_America', 'http://dbpedia.org/resource/Canada']",Kim Sawchuk,Canada
1850,Where was Liliya Lobanova born?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Liliya_Lobanova> <http://dbpedia.org/property/birthplace> ?uri } ,[],Liliya Lobanova,"Sorry, answer not found!"
1855,Name the cause of death of Martino Martini ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Martino_Martini> <http://dbpedia.org/ontology/deathCause> ?uri } ,[],Martino Martini,idolatry
1860,What is the debut team of ngel Escobar ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ángel_Escobar> <http://dbpedia.org/property/debutteam> ?uri } ,['http://dbpedia.org/resource/San_Francisco_Giants'],Escobar,"Sorry, answer not found!"
1871,List the houses of Parliament of India ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Parliament_of_India> <http://dbpedia.org/property/houses> ?uri } ,"['http://dbpedia.org/resource/Rajya_Sabha', 'http://dbpedia.org/resource/Lok_Sabha']",India,Outline
1876,What is the hub of Wan Air ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Wan_Air> <http://dbpedia.org/property/hubs> ?uri } ,"['http://dbpedia.org/resource/France', 'http://dbpedia.org/resource/Tahiti', ""http://dbpedia.org/resource/Faa'a_International_Airport""]",Wan Air,pearl industry
1896,What are the Languages of Zabbaleen ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Zabbaleen> <http://dbpedia.org/property/languages> ?uri } ,['http://dbpedia.org/resource/Egyptian_Arabic'],NotFound,"Sorry, answer not found!"
1907,"Who is the architect of Red House, London ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Red_House,_London> <http://dbpedia.org/property/architect> ?uri } ",[],London,Outline of England
1918,What is the second track list of Dschinghis Khan (song) ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Dschinghis_Khan_(song)> <http://dbpedia.org/ontology/subsequentWork> ?uri } ,['http://dbpedia.org/resource/Yuke_Yuke_Monkey_Dance'],Dschinghis Khan (song),Allegro Barbaro Re-Release
1923,AH141 highway is a part of which country?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/AH141> <http://dbpedia.org/ontology/county> ?uri } ,['http://dbpedia.org/resource/Malaysia'],AH141,"Sorry, answer not found!"
1937,Who wrote The Times They Are a-Changin?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Times_They_Are_a-Changin'_(musical)> <http://dbpedia.org/ontology/musicBy> ?uri } ,['http://dbpedia.org/resource/Bob_Dylan'],The Times,Allan Nevins
1943,Where did ed podolak go to high school, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ed_Podolak> <http://dbpedia.org/ontology/highschool> ?uri } ,['http://dbpedia.org/resource/Atlantic_High_School_(Iowa)'],NotFound,"Sorry, answer not found!"
1944,"Where is the county seat of King County, Washington?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/King_County,_Washington> <http://dbpedia.org/ontology/countySeat> ?uri } ",['http://dbpedia.org/resource/Seattle'],"King County, Washington",Mercer Island
1973,Where did john o conner study?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/John_O'Connor_(archbishop_of_New_York)> <http://dbpedia.org/ontology/almaMater> ?uri } ,[],NotFound,"Sorry, answer not found!"
1976,Name the major shrine of Bogumilus?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Bogumilus> <http://dbpedia.org/ontology/majorShrine> ?uri } ,[],Bogumilus,Virgin Mary and Child
1986,"Danny Felice, the Gibraltarian guitarist is from which city?", SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Danny_Felice> <http://dbpedia.org/ontology/hometown> ?uri } ,['http://dbpedia.org/resource/London'],city,Metropolis
1987,Name the tenants of O.co Coliseum ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/O.co_Coliseum> <http://dbpedia.org/ontology/tenant> ?uri } ,[],O.co Coliseum,San Francisco Bay Area
1992,Name the sports played by PATTS College of Aeronautics?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/PATTS_College_of_Aeronautics> <http://dbpedia.org/property/athletics> ?uri } ,"['http://dbpedia.org/resource/Chess', 'http://dbpedia.org/resource/Basketball', 'http://dbpedia.org/resource/Taekwondo', 'http://dbpedia.org/resource/Volleyball']",PATTS College of Aeronautics,Parañaque City
1995,With whom is Heinz Kokott a relative to who also served Nazi Army?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Heinz_Kokott> <http://dbpedia.org/ontology/relation> ?uri } ,['http://dbpedia.org/resource/Heinrich_Himmler'],Nazi Army,"Sorry, answer not found!"
